building_id,timestamp,total_consumption_kwh,heating_kwh,cooling_kwh,lighting_kwh,appliances_kwh,hvac_kwh,other_kwh
B_0045,2023-05-05,184.05,30.64,44.66,25.84,43.4,29.59,9.92
B_0046,2023-05-05,110.67,23.87,29.14,19.58,23.13,22.31,0.0
B_0047,2023-05-05,130.38,21.25,31.89,19.31,34.39,30.8,0.0
B_0048,2023-05-05,155.0,35.05,39.72,24.67,43.06,37.16,0.0
B_0049,2023-05-05,104.35,23.26,23.71,16.69,23.97,23.88,0.0
B_0050,2023-05-05,86.76,20.6,23.64,15.54,20.63,19.87,0.0
B_0051,2023-05-05,160.01,35.35,38.47,24.67,35.73,33.53,0.0
B_0052,2023-05-05,108.73,22.92,20.98,16.5,24.33,17.52,6.48
B_0053,2023-05-05,125.05,24.26,34.85,18.11,27.7,20.12,0.0
B_0054,2023-05-05,156.58,33.16,35.9,23.13,31.91,28.82,3.66
B_0055,2023-05-05,107.41,19.21,24.25,17.46,26.08,18.11,2.31
B_0056,2023-05-05,116.0,20.7,33.01,19.74,31.23,18.96,0.0
B_0057,2023-05-05,82.97,14.61,23.25,10.42,21.19,15.03,0.0
B_0058,2023-05-05,154.7,30.58,30.53,24.96,45.73,27.73,0.0
B_0059,2023-05-05,101.98,21.78,27.06,14.32,28.95,21.69,0.0
B_0060,2023-05-05,171.99,29.37,48.18,22.56,35.91,34.92,1.04
B_0061,2023-05-05,99.36,18.87,19.94,16.63,29.0,19.7,0.0
B_0062,2023-05-05,131.97,25.38,30.39,20.95,37.84,27.05,0.0
B_0063,2023-05-05,130.55,28.31,31.93,22.22,34.17,25.18,0.0
B_0064,2023-05-05,101.74,24.33,24.27,13.18,20.9,20.94,0.0
B_0065,2023-05-05,136.43,26.0,30.09,20.37,33.8,24.78,1.39
B_0066,2023-05-05,164.43,35.93,32.25,28.76,38.84,32.36,0.0
B_0067,2023-05-05,126.26,26.72,25.62,21.95,31.51,25.81,0.0
B_0068,2023-05-05,116.61,22.92,25.4,18.45,31.49,27.89,0.0
B_0069,2023-05-05,120.34,24.57,26.26,17.22,27.54,21.91,2.84
B_0070,2023-05-05,138.26,31.65,28.64,22.72,35.99,25.7,0.0
B_0071,2023-05-05,94.97,15.76,18.46,16.02,22.74,21.91,0.08
B_0072,2023-05-05,82.07,18.24,22.29,11.58,20.11,18.39,0.0
B_0073,2023-05-05,140.59,22.66,37.53,23.83,33.89,24.51,0.0
B_0074,2023-05-05,90.85,14.64,17.92,14.99,20.99,19.68,2.64
B_0075,2023-05-05,87.28,14.68,17.32,14.81,22.19,20.09,0.0
B_0076,2023-05-05,137.73,32.69,39.14,20.54,40.42,25.77,0.0
B_0077,2023-05-05,100.29,18.45,20.52,14.76,23.36,18.73,4.47
B_0078,2023-05-05,106.57,21.57,25.88,15.82,31.6,23.36,0.0
B_0079,2023-05-05,134.41,31.94,26.26,21.9,29.5,27.1,0.0
B_0080,2023-05-05,81.57,15.91,19.77,13.73,18.81,18.15,0.0
B_0081,2023-05-05,146.34,24.08,30.22,20.31,36.66,27.27,7.81
B_0082,2023-05-05,128.19,23.68,26.88,16.5,32.37,28.11,0.66
B_0083,2023-05-05,119.19,26.05,28.25,19.84,28.79,27.53,0.0
B_0084,2023-05-05,164.12,26.98,43.46,22.32,47.92,36.8,0.0
B_0085,2023-05-05,92.42,18.31,20.03,14.26,19.77,18.38,1.67
B_0086,2023-05-05,103.95,21.76,27.81,16.65,21.83,16.68,0.0
B_0087,2023-05-05,155.57,31.3,35.87,24.73,46.54,37.0,0.0
B_0088,2023-05-05,78.5,12.58,17.02,12.25,17.24,18.28,1.14
B_0089,2023-05-05,98.36,23.05,20.97,16.93,23.3,20.74,0.0
B_0090,2023-05-05,126.21,24.24,26.46,19.16,25.37,26.59,4.38
B_0091,2023-05-05,134.19,23.5,28.55,16.52,26.95,32.16,6.51
B_0092,2023-05-05,88.16,20.95,25.24,13.44,17.72,20.06,0.0
B_0093,2023-05-05,184.0,39.73,48.61,23.31,50.71,35.96,0.0
B_0094,2023-05-05,88.26,16.05,18.7,13.89,24.7,14.14,0.79
B_0095,2023-05-05,139.62,24.56,26.81,22.45,32.32,27.01,6.47
B_0096,2023-05-05,154.93,24.97,34.91,23.68,35.44,36.47,0.0
B_0097,2023-05-05,92.84,16.0,25.2,13.08,27.77,16.68,0.0
B_0098,2023-05-05,87.14,18.09,20.67,11.55,19.24,14.69,2.9
B_0099,2023-05-05,125.01,28.9,33.58,19.01,31.94,22.51,0.0
B_0100,2023-05-05,108.79,24.93,25.22,15.05,31.74,24.94,0.0
B_0001,2023-05-06,87.87,17.3,20.46,11.25,20.28,14.75,3.82
B_0002,2023-05-06,102.79,21.65,28.55,13.85,27.61,20.74,0.0
B_0003,2023-05-06,123.94,25.24,27.29,19.37,36.76,23.85,0.0
B_0004,2023-05-06,141.63,23.99,27.98,21.44,33.1,31.97,3.17
B_0005,2023-05-06,76.11,14.75,19.49,10.41,20.22,17.57,0.0
B_0006,2023-05-06,116.08,25.22,32.25,18.48,30.14,19.65,0.0
B_0007,2023-05-06,97.29,18.07,22.49,16.17,21.76,21.25,0.0
B_0008,2023-05-06,144.17,30.63,39.02,19.61,31.52,28.13,0.0
B_0009,2023-05-06,110.45,24.29,30.32,19.25,32.14,19.71,0.0
B_0010,2023-05-06,138.85,23.63,36.22,18.2,39.92,28.79,0.0
B_0011,2023-05-06,97.7,19.31,24.4,12.34,22.86,21.5,0.0
B_0012,2023-05-06,102.1,20.5,24.13,16.76,28.94,21.78,0.0
B_0013,2023-05-06,92.04,15.33,26.37,15.47,26.4,21.29,0.0
B_0014,2023-05-06,124.05,20.5,30.25,19.77,25.75,29.55,0.0
B_0015,2023-05-06,125.83,23.54,25.3,22.38,33.52,26.89,0.0
B_0016,2023-05-06,101.97,17.96,23.67,14.1,29.04,19.01,0.0
B_0017,2023-05-06,87.38,18.71,18.76,15.1,25.51,19.44,0.0
B_0018,2023-05-06,89.49,19.84,25.23,15.55,20.51,19.7,0.0
B_0019,2023-05-06,69.66,13.84,17.54,12.42,18.93,11.18,0.0
B_0020,2023-05-06,87.14,19.86,18.25,10.75,19.45,18.42,0.41
B_0021,2023-05-06,109.56,24.96,21.31,16.61,30.18,24.85,0.0
B_0022,2023-05-06,95.28,20.67,25.65,15.39,26.0,22.73,0.0
B_0023,2023-05-06,98.97,19.52,20.52,16.0,24.3,21.66,0.0
B_0024,2023-05-06,79.21,14.25,16.71,10.75,19.66,13.19,4.65
B_0025,2023-05-06,139.52,26.74,37.2,19.21,37.32,33.22,0.0
B_0026,2023-05-06,119.84,26.34,29.94,14.95,35.2,21.68,0.0
B_0027,2023-05-06,93.75,20.1,22.63,14.39,20.14,21.93,0.0
B_0028,2023-05-06,116.35,23.46,24.56,14.27,26.99,19.19,7.88
B_0029,2023-05-06,62.96,10.39,17.67,8.25,14.16,14.34,0.0
B_0030,2023-05-06,96.44,15.65,25.51,13.42,26.32,19.46,0.0
B_0031,2023-05-06,104.77,20.45,26.35,13.89,28.43,17.17,0.0
B_0032,2023-05-06,82.29,14.44,20.66,14.76,18.03,13.21,1.19
B_0033,2023-05-06,90.7,17.41,21.09,15.05,26.06,17.41,0.0
B_0034,2023-05-06,113.35,21.98,28.58,14.06,24.21,23.7,0.82
B_0035,2023-05-06,97.29,15.63,25.59,12.19,20.0,20.73,3.16
B_0036,2023-05-06,140.23,33.43,33.51,22.38,38.45,27.8,0.0
B_0037,2023-05-06,99.55,18.09,26.98,15.09,20.13,21.03,0.0
B_0038,2023-05-06,105.25,24.91,24.48,13.14,26.66,20.06,0.0
B_0039,2023-05-06,104.08,17.6,20.72,13.41,29.0,19.35,4.0
B_0040,2023-05-06,96.43,21.14,26.92,12.43,20.85,22.14,0.0
B_0041,2023-05-06,89.07,20.77,25.57,14.1,26.32,18.18,0.0
B_0042,2023-05-06,110.42,20.42,24.17,15.09,28.75,24.93,0.0
B_0043,2023-05-06,104.86,17.42,23.22,17.81,23.12,22.52,0.77
B_0044,2023-05-06,73.59,13.92,20.14,9.74,17.16,12.64,0.0
B_0045,2023-05-06,122.53,27.94,31.45,21.31,32.38,22.7,0.0
B_0046,2023-05-06,68.7,11.79,16.6,9.1,17.02,15.48,0.0
B_0047,2023-05-06,96.71,19.14,26.81,12.76,28.1,16.72,0.0
B_0048,2023-05-06,114.58,21.26,24.77,18.24,27.2,26.43,0.0
B_0049,2023-05-06,94.5,20.69,22.88,13.75,21.03,17.64,0.0
B_0050,2023-05-06,83.04,15.05,23.01,13.38,24.47,15.35,0.0
B_0051,2023-05-06,114.31,22.56,29.07,20.1,33.09,18.48,0.0
B_0052,2023-05-06,85.7,18.52,17.21,13.63,19.19,17.63,0.0
B_0053,2023-05-06,99.42,21.97,23.73,12.2,23.76,23.63,0.0
B_0054,2023-05-06,70.97,15.91,17.21,12.56,16.18,12.6,0.0
B_0055,2023-05-06,102.98,18.58,28.3,15.93,29.98,23.9,0.0
B_0056,2023-05-06,98.73,23.02,24.9,13.32,23.04,19.18,0.0
B_0057,2023-05-06,90.61,18.24,20.75,14.2,23.06,20.33,0.0
B_0058,2023-05-06,122.26,19.61,32.7,21.06,32.62,27.83,0.0
B_0059,2023-05-06,110.93,19.05,27.36,14.68,24.76,26.02,0.0
B_0060,2023-05-06,100.84,24.07,20.35,15.28,29.35,19.19,0.0
B_0061,2023-05-06,82.77,19.15,23.74,10.27,21.09,18.57,0.0
B_0062,2023-05-06,152.58,24.9,39.0,23.21,34.19,35.46,0.0
B_0063,2023-05-06,112.68,24.16,30.67,15.15,30.86,18.06,0.0
B_0064,2023-05-06,117.6,25.31,31.58,14.27,24.12,22.64,0.0
B_0065,2023-05-06,88.31,17.17,22.94,10.8,19.59,16.75,1.06
B_0066,2023-05-06,98.2,18.94,26.97,14.18,21.59,23.56,0.0
B_0067,2023-05-06,24.53,3.93,6.56,3.49,5.31,4.18,1.06
B_0068,2023-05-06,134.39,24.03,37.61,19.06,29.26,24.83,0.0
B_0069,2023-05-06,123.3,27.85,32.22,21.39,25.86,20.25,0.0
B_0070,2023-05-06,123.15,26.5,33.67,19.66,34.5,20.89,0.0
B_0071,2023-05-06,115.55,21.36,27.01,15.34,33.06,24.68,0.0
B_0072,2023-05-06,108.7,18.18,29.36,16.92,22.67,19.71,1.86
B_0073,2023-05-06,64.77,13.32,14.94,11.57,13.39,12.97,0.0
B_0074,2023-05-06,99.32,21.21,28.41,16.16,24.98,21.06,0.0
B_0075,2023-05-06,84.01,15.79,16.18,14.64,18.94,19.73,0.0
B_0076,2023-05-06,85.8,14.51,20.44,13.83,20.78,19.89,0.0
B_0077,2023-05-06,64.54,11.88,16.49,10.4,13.35,13.81,0.0
B_0078,2023-05-06,56.76,11.11,11.48,8.09,11.93,11.76,2.38
B_0079,2023-05-06,109.26,18.09,21.3,16.81,32.06,22.25,0.0
B_0080,2023-05-06,70.31,13.12,19.73,11.63,19.73,11.67,0.0
B_0081,2023-05-06,78.16,17.1,21.49,11.27,18.11,15.62,0.0
B_0082,2023-05-06,62.21,12.04,17.23,8.18,14.26,12.18,0.0
B_0083,2023-05-06,112.17,18.3,30.56,15.25,33.37,22.26,0.0
B_0084,2023-05-06,77.99,12.96,21.36,9.76,21.7,16.54,0.0
B_0085,2023-05-06,75.45,13.61,19.71,12.37,18.99,17.77,0.0
B_0086,2023-05-06,50.31,11.19,13.92,8.83,14.32,10.45,0.0
B_0087,2023-05-06,105.56,22.9,28.55,13.32,29.71,20.76,0.0
B_0088,2023-05-06,72.26,14.05,19.51,11.96,18.85,15.15,0.0
B_0089,2023-05-06,72.85,15.54,17.28,8.88,18.5,13.07,0.0
B_0090,2023-05-06,102.11,20.71,20.78,16.52,23.29,21.67,0.0
B_0091,2023-05-06,115.88,18.77,28.27,15.55,30.2,24.09,0.0
B_0092,2023-05-06,85.3,14.9,19.1,11.89,23.43,20.13,0.0
B_0093,2023-05-06,94.78,18.98,24.77,13.6,20.23,16.84,0.36
B_0094,2023-05-06,141.68,29.49,35.94,23.02,30.13,24.06,0.0
B_0095,2023-05-06,97.5,16.67,21.5,15.16,27.61,21.89,0.0
B_0096,2023-05-06,94.15,18.06,18.69,15.58,26.31,20.26,0.0
B_0097,2023-05-06,135.04,22.03,37.44,21.76,30.02,23.64,0.17
B_0098,2023-05-06,93.71,15.6,21.7,12.79,20.93,17.59,5.1
B_0099,2023-05-06,111.19,24.01,21.35,13.62,22.36,22.19,7.65
B_0100,2023-05-06,84.86,15.27,19.37,14.44,22.26,17.25,0.0
B_0001,2023-05-07,99.63,21.8,26.06,13.12,25.78,23.54,0.0
B_0002,2023-05-07,86.87,20.78,20.23,12.57,23.33,18.38,0.0
B_0003,2023-05-07,100.49,19.49,26.33,15.16,25.82,17.74,0.0
B_0004,2023-05-07,86.35,14.11,18.09,13.15,18.04,15.69,7.26
B_0005,2023-05-07,84.46,14.3,19.95,11.4,21.46,19.48,0.0
B_0006,2023-05-07,64.4,13.37,18.01,7.86,13.58,12.35,0.0
B_0007,2023-05-07,96.55,22.18,25.13,11.8,24.25,22.6,0.0
B_0008,2023-05-07,93.18,20.64,24.82,15.64,21.47,16.18,0.0
B_0009,2023-05-07,92.6,20.28,22.45,14.41,19.19,14.92,1.35
B_0010,2023-05-07,138.76,33.06,29.74,20.41,39.56,28.36,0.0
B_0011,2023-05-07,123.85,25.69,28.34,16.1,36.51,28.36,0.0
B_0012,2023-05-07,70.62,12.08,16.28,9.7,17.01,15.38,0.16
B_0013,2023-05-07,91.26,17.88,22.18,13.35,18.7,18.22,0.92
B_0014,2023-05-07,128.77,26.78,25.94,15.6,30.42,20.63,9.4
B_0015,2023-05-07,101.49,19.27,23.31,13.22,28.41,20.29,0.0
B_0016,2023-05-07,107.92,22.93,20.98,14.81,22.3,18.17,8.73
B_0017,2023-05-07,103.52,22.83,26.3,15.84,21.16,23.99,0.0
B_0018,2023-05-07,81.76,16.99,18.37,14.66,23.06,16.66,0.0
B_0019,2023-05-07,83.17,15.75,17.65,13.41,22.76,14.77,0.0
B_0020,2023-05-07,76.25,16.77,16.86,11.7,20.6,16.14,0.0
B_0021,2023-05-07,116.07,25.17,26.04,16.91,29.27,26.65,0.0
B_0022,2023-05-07,65.94,13.82,18.93,9.17,19.56,12.81,0.0
B_0023,2023-05-07,86.28,18.77,18.06,14.36,23.87,20.36,0.0
B_0024,2023-05-07,100.5,19.34,21.33,16.63,28.22,19.95,0.0
B_0025,2023-05-07,107.18,23.64,20.84,19.11,24.94,24.22,0.0
B_0026,2023-05-07,81.13,13.66,21.97,14.11,21.77,15.46,0.0
B_0027,2023-05-07,101.76,21.92,26.86,17.9,25.25,16.66,0.0
B_0028,2023-05-07,130.49,25.73,31.93,17.31,35.12,22.51,0.0
B_0029,2023-05-07,113.14,21.69,27.46,15.22,23.02,19.65,6.09
B_0030,2023-05-07,100.73,20.89,26.73,13.33,21.31,18.31,0.16
B_0031,2023-05-07,167.64,32.93,32.96,29.91,36.66,35.23,0.0
B_0032,2023-05-07,86.05,14.96,24.6,10.9,19.64,19.59,0.0
B_0033,2023-05-07,64.78,13.85,15.87,9.62,18.99,13.46,0.0
B_0034,2023-05-07,133.29,30.46,29.54,23.12,30.32,23.14,0.0
B_0035,2023-05-07,110.65,24.23,30.5,14.04,27.44,25.74,0.0
B_0036,2023-05-07,132.54,24.69,36.07,18.23,35.12,29.91,0.0
B_0037,2023-05-07,102.5,20.37,24.13,15.93,29.65,19.12,0.0
B_0038,2023-05-07,117.24,27.81,33.18,16.35,30.76,27.23,0.0
B_0039,2023-05-07,104.35,19.33,25.54,17.46,28.67,21.72,0.0
B_0040,2023-05-07,93.42,18.22,25.8,15.87,19.7,16.57,0.0
B_0041,2023-05-07,54.9,11.0,13.89,8.64,16.31,13.04,0.0
B_0042,2023-05-07,77.7,16.86,20.55,9.47,19.94,14.97,0.0
B_0043,2023-05-07,131.62,23.59,36.41,20.18,38.64,31.15,0.0
B_0044,2023-05-07,119.81,23.68,32.65,19.54,33.98,25.95,0.0
B_0045,2023-05-07,93.66,18.65,26.46,15.88,19.68,15.37,0.0
B_0046,2023-05-07,42.06,9.35,12.02,7.38,12.24,9.91,0.0
B_0047,2023-05-07,63.4,13.09,13.06,10.79,16.86,14.81,0.0
B_0048,2023-05-07,119.54,24.79,23.24,21.3,33.73,27.46,0.0
B_0049,2023-05-07,102.78,23.2,20.07,14.32,23.58,18.07,3.53
B_0050,2023-05-07,77.84,15.13,15.15,12.16,17.16,16.83,1.42
B_0051,2023-05-07,99.77,23.71,27.29,13.97,27.3,21.12,0.0
B_0052,2023-05-07,117.75,24.01,32.31,20.83,32.44,26.22,0.0
B_0053,2023-05-07,68.36,13.6,19.51,8.72,19.26,13.28,0.0
B_0054,2023-05-07,149.53,34.6,32.85,25.88,30.58,25.68,0.0
B_0055,2023-05-07,79.38,13.97,16.8,12.68,19.46,12.81,3.66
B_0056,2023-05-07,77.42,13.92,17.09,13.24,16.66,12.71,3.8
B_0057,2023-05-07,113.15,24.86,24.18,14.13,27.22,23.49,0.0
B_0058,2023-05-07,112.07,22.7,28.21,14.62,24.02,23.5,0.0
B_0059,2023-05-07,82.77,19.8,21.76,13.19,19.13,16.92,0.0
B_0060,2023-05-07,122.54,27.46,31.31,21.72,36.04,22.12,0.0
B_0061,2023-05-07,87.92,14.16,17.12,12.42,18.64,19.26,6.32
B_0062,2023-05-07,79.19,18.95,21.07,10.62,23.26,14.38,0.0
B_0063,2023-05-07,95.67,17.62,20.71,13.83,24.01,18.98,0.53
B_0064,2023-05-07,76.99,15.34,18.62,12.27,20.63,15.87,0.0
B_0065,2023-05-07,110.54,18.3,23.16,16.44,24.9,24.22,3.53
B_0066,2023-05-07,112.69,26.07,30.61,13.74,27.02,21.71,0.0
B_0067,2023-05-07,84.57,13.86,18.84,13.66,21.45,14.6,2.15
B_0068,2023-05-07,91.49,16.4,24.09,15.51,24.57,17.31,0.0
B_0069,2023-05-07,28.97,6.8,7.02,4.17,6.43,5.11,0.0
B_0070,2023-05-07,86.42,15.23,23.72,13.82,21.78,17.71,0.0
B_0071,2023-05-07,63.43,11.03,17.63,8.71,17.92,10.88,0.0
B_0072,2023-05-07,109.36,20.97,24.0,17.4,32.5,24.35,0.0
B_0073,2023-05-07,76.91,17.5,19.57,11.11,22.81,18.17,0.0
B_0074,2023-05-07,75.47,17.15,17.31,10.0,21.56,16.82,0.0
B_0075,2023-05-07,60.29,12.72,11.92,10.76,14.22,10.28,0.4
B_0076,2023-05-07,118.85,28.38,24.52,18.53,27.36,26.18,0.0
B_0077,2023-05-07,86.26,14.68,17.41,12.66,21.82,16.58,3.11
B_0078,2023-05-07,152.61,36.61,34.65,27.3,39.56,30.6,0.0
B_0079,2023-05-07,110.62,20.34,25.95,15.44,27.3,19.49,2.1
B_0080,2023-05-07,80.33,17.62,20.13,10.26,22.25,16.04,0.0
B_0081,2023-05-07,49.48,8.26,10.34,7.72,10.95,10.34,1.87
B_0082,2023-05-07,92.62,16.9,26.54,15.22,21.75,16.23,0.0
B_0083,2023-05-07,81.03,18.12,15.58,13.98,18.44,16.68,0.0
B_0084,2023-05-07,107.77,19.37,25.98,18.79,27.85,24.75,0.0
B_0085,2023-05-07,87.75,20.94,17.57,15.21,20.43,15.5,0.0
B_0086,2023-05-07,95.71,21.03,18.7,13.32,22.89,15.52,4.24
B_0087,2023-05-07,101.34,18.42,23.54,14.76,30.0,22.11,0.0
B_0088,2023-05-07,48.95,7.95,10.51,8.59,12.12,9.31,0.47
B_0089,2023-05-07,51.81,12.39,13.44,6.76,12.04,8.95,0.0
B_0090,2023-05-07,74.28,17.36,16.73,9.73,20.91,16.14,0.0
B_0091,2023-05-07,96.0,19.63,23.54,16.08,27.81,19.16,0.0
B_0092,2023-05-07,85.7,17.15,19.73,13.87,17.7,14.97,2.29
B_0093,2023-05-07,70.29,14.61,19.83,10.98,17.0,11.98,0.0
B_0094,2023-05-07,99.54,17.06,26.36,16.85,24.92,17.89,0.0
B_0095,2023-05-07,61.96,11.31,16.6,8.28,15.64,11.25,0.0
B_0096,2023-05-07,107.03,19.97,30.72,15.03,25.85,24.74,0.0
B_0097,2023-05-07,116.85,22.39,29.7,15.96,34.07,24.95,0.0
B_0098,2023-05-07,127.8,20.46,30.53,21.47,32.86,29.31,0.0
B_0099,2023-05-07,74.25,12.66,15.76,12.66,20.88,12.78,0.0
B_0100,2023-05-07,104.74,24.31,23.03,17.92,21.92,22.22,0.0
B_0001,2023-05-08,170.81,33.35,48.73,28.87,36.67,34.8,0.0
B_0002,2023-05-08,92.01,21.39,24.25,11.47,24.73,20.37,0.0
B_0003,2023-05-08,106.97,23.99,26.26,14.84,31.57,24.02,0.0
B_0004,2023-05-08,141.75,32.72,28.88,24.19,36.52,31.28,0.0
B_0005,2023-05-08,94.52,19.04,22.86,15.28,26.68,16.39,0.0
B_0006,2023-05-08,112.83,19.51,29.46,15.35,33.12,20.83,0.0
B_0007,2023-05-08,59.72,11.36,14.6,7.33,16.49,12.59,0.0
B_0008,2023-05-08,126.72,25.39,35.56,21.9,25.43,25.46,0.0
B_0009,2023-05-08,184.36,32.16,47.76,30.73,39.43,33.57,0.71
B_0010,2023-05-08,124.15,22.76,33.34,21.19,25.44,23.4,0.0
B_0011,2023-05-08,128.06,29.76,29.81,19.77,30.95,21.22,0.0
B_0012,2023-05-08,79.24,13.06,19.97,14.1,17.71,18.01,0.0
B_0013,2023-05-08,118.77,25.05,31.34,15.98,32.42,21.19,0.0
B_0014,2023-05-08,55.46,12.29,12.69,9.24,12.98,12.44,0.0
B_0015,2023-05-08,128.41,25.01,25.83,22.32,26.41,23.94,4.91
B_0016,2023-05-08,130.11,27.77,30.28,20.02,37.8,30.12,0.0
B_0017,2023-05-08,158.53,35.04,45.49,20.65,46.18,34.26,0.0
B_0018,2023-05-08,70.85,14.54,13.86,11.8,15.69,15.67,0.0
B_0019,2023-05-08,90.59,15.76,22.51,15.44,18.22,20.8,0.0
B_0020,2023-05-08,108.49,25.05,30.78,16.17,24.35,22.14,0.0
B_0021,2023-05-08,85.58,16.58,22.05,11.13,19.09,19.94,0.0
B_0022,2023-05-08,118.76,19.62,30.48,19.08,28.07,20.89,0.62
B_0023,2023-05-08,161.52,38.65,36.84,28.71,41.91,29.24,0.0
B_0024,2023-05-08,77.0,12.54,20.95,9.94,16.1,13.54,3.93
B_0025,2023-05-08,89.47,16.86,22.72,12.49,25.05,20.86,0.0
B_0026,2023-05-08,133.58,21.89,28.43,16.72,34.63,28.89,3.03
B_0027,2023-05-08,107.26,18.28,26.4,19.26,23.26,22.34,0.0
B_0028,2023-05-08,137.77,30.81,38.15,16.96,30.76,23.05,0.0
B_0029,2023-05-08,113.18,19.33,27.78,16.29,29.55,22.28,0.0
B_0030,2023-05-08,123.9,25.8,27.53,19.34,36.88,20.87,0.0
B_0031,2023-05-08,151.72,31.72,40.74,19.63,31.42,34.94,0.0
B_0032,2023-05-08,115.67,24.28,28.63,14.36,33.69,27.19,0.0
B_0033,2023-05-08,114.3,18.65,30.33,16.16,24.19,18.64,6.33
B_0034,2023-05-08,124.31,26.63,28.74,22.22,35.3,26.22,0.0
B_0035,2023-05-08,168.11,39.72,40.54,22.69,42.69,39.56,0.0
B_0036,2023-05-08,168.52,39.72,43.09,29.88,41.71,35.78,0.0
B_0037,2023-05-08,93.09,21.99,19.72,14.07,26.7,16.85,0.0
B_0038,2023-05-08,142.02,34.05,33.21,19.28,35.1,30.71,0.0
B_0039,2023-05-08,138.48,31.11,29.54,21.75,35.71,25.05,0.0
B_0040,2023-05-08,135.75,30.95,26.21,19.16,30.42,30.04,0.0
B_0041,2023-05-08,151.41,28.44,30.7,27.25,35.31,34.12,0.0
B_0042,2023-05-08,113.59,21.74,25.73,14.92,24.03,24.98,2.18
B_0043,2023-05-08,137.39,23.04,27.93,23.06,40.87,29.98,0.0
B_0044,2023-05-08,99.66,22.67,25.87,17.59,24.63,17.51,0.0
B_0045,2023-05-08,123.7,20.25,26.96,20.64,33.46,29.23,0.0
B_0046,2023-05-08,134.22,23.74,36.7,23.11,38.32,30.75,0.0
B_0047,2023-05-08,72.77,13.25,20.94,12.32,21.51,13.83,0.0
B_0048,2023-05-08,157.0,29.15,33.38,22.13,39.49,31.16,1.68
B_0049,2023-05-08,165.57,34.84,33.13,25.64,34.82,29.85,7.3
B_0050,2023-05-08,78.67,17.05,21.55,11.16,19.72,18.72,0.0
B_0051,2023-05-08,72.8,16.58,19.85,12.0,15.22,12.73,0.0
B_0052,2023-05-08,112.63,20.54,27.56,17.33,29.44,18.2,0.0
B_0053,2023-05-08,107.46,18.46,27.16,16.87,27.82,21.4,0.0
B_0054,2023-05-08,159.07,26.5,33.75,23.25,47.2,36.85,0.0
B_0055,2023-05-08,115.64,24.8,24.51,16.82,26.79,24.1,0.0
B_0056,2023-05-08,92.49,19.41,24.59,13.34,22.23,16.22,0.0
B_0057,2023-05-08,63.6,13.2,15.26,9.23,13.68,13.15,0.0
B_0058,2023-05-08,70.25,13.93,16.13,9.85,15.18,13.94,1.21
B_0059,2023-05-08,111.01,23.6,27.03,16.34,25.61,19.39,0.0
B_0060,2023-05-08,159.62,26.51,34.61,20.96,38.88,37.03,1.62
B_0061,2023-05-08,110.68,26.54,29.02,16.83,27.23,22.87,0.0
B_0062,2023-05-08,120.17,19.45,31.92,14.52,35.63,21.38,0.0
B_0063,2023-05-08,99.53,18.82,19.8,16.24,20.62,17.02,7.04
B_0064,2023-05-08,111.81,24.87,25.87,17.94,32.16,21.97,0.0
B_0065,2023-05-08,163.43,36.2,43.56,29.4,42.45,36.04,0.0
B_0066,2023-05-08,140.32,23.35,37.37,22.5,31.68,24.86,0.56
B_0067,2023-05-08,106.37,21.7,26.99,13.65,21.38,17.15,5.51
B_0068,2023-05-08,114.95,20.98,27.39,17.8,25.47,26.26,0.0
B_0069,2023-05-08,190.98,38.19,49.83,32.37,38.35,34.42,0.0
B_0070,2023-05-08,108.53,22.25,24.9,14.19,24.11,22.29,0.79
B_0071,2023-05-08,94.17,15.76,26.59,14.15,27.17,16.74,0.0
B_0072,2023-05-08,86.19,19.47,16.97,11.68,25.09,14.73,0.0
B_0073,2023-05-08,132.12,29.61,32.74,16.79,34.93,29.95,0.0
B_0074,2023-05-08,119.47,23.31,32.36,19.89,25.11,21.2,0.0
B_0075,2023-05-08,78.55,16.83,15.34,10.44,23.09,17.6,0.0
B_0076,2023-05-08,138.39,28.66,26.65,19.59,30.24,29.6,3.66
B_0077,2023-05-08,91.07,17.05,20.07,11.77,23.34,18.97,0.0
B_0078,2023-05-08,110.24,23.97,25.85,15.86,31.88,25.23,0.0
B_0079,2023-05-08,114.37,23.14,28.91,20.18,26.12,21.14,0.0
B_0080,2023-05-08,128.26,20.57,30.92,18.24,26.49,21.11,10.93
B_0081,2023-05-08,129.5,27.24,33.17,23.08,31.39,28.22,0.0
B_0082,2023-05-08,109.73,20.46,31.29,16.04,27.15,18.01,0.0
B_0083,2023-05-08,181.91,32.0,40.2,25.87,45.48,42.8,0.0
B_0084,2023-05-08,114.2,25.17,26.72,19.94,31.29,19.34,0.0
B_0085,2023-05-08,125.37,26.29,25.52,15.23,31.4,26.49,0.43
B_0086,2023-05-08,97.15,19.48,22.53,16.79,21.72,18.58,0.0
B_0087,2023-05-08,88.01,15.97,24.09,15.5,21.2,18.7,0.0
B_0088,2023-05-08,104.71,21.0,23.46,12.68,22.0,20.36,5.21
B_0089,2023-05-08,77.32,13.09,20.01,12.95,19.27,13.93,0.0
B_0090,2023-05-08,101.83,19.59,21.65,15.36,21.23,18.75,5.26
B_0091,2023-05-08,137.54,27.55,36.02,19.65,35.26,26.2,0.0
B_0092,2023-05-08,105.87,18.52,26.47,17.88,21.22,17.56,4.22
