material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,component
insulation_mineral_wool,643619.1000000001,kg,EPD-4045-INS,Insulation_mineral_wool Corp 73,Local,569,829775.96,248932.79,82977.6,497865.58,32180.96,12872.38,643.619,6436.19,19308.57,12872.38,32180.96,-237439.69,100,51.7,42,6.765031935991795,35.11553853328856,EN 15804,2023-01-01,2028-01-01,2716606.553,kg CFC-11 eq,3518317.982,kg SO2 eq,1116616.51,kg PO4 eq,6173093.179,kg C2H4 eq,5362915.474,kg Sb eq,5041255.449,m3,5655777.552,MJ,BLD_00073,insulation
glass,386171.46,kg,EPD-7967-GLA,Glass Corp 55,Europe,1994,343652.13,103095.64,34365.21,206191.28,19308.57,7723.43,386.171,3861.71,11585.14,7723.43,19308.57,-167280.35,2500,93.4,44,6.47414458451183,7.4470429276705605,ISO 21930,2023-01-01,2028-01-01,1568258.787,kg CFC-11 eq,2872617.005,kg SO2 eq,3501649.997,kg PO4 eq,1849384.851,kg C2H4 eq,3769678.264,kg Sb eq,361077.42,m3,331014.942,MJ,BLD_00073,windows
aluminum,96542.865,kg,EPD-3205-ALU,Aluminum Corp 85,Europe,978,1124750.21,337425.06,112475.02,674850.12,4827.14,1930.86,96.543,965.43,2896.29,1930.86,4827.14,-538615.98,2700,98.7,43,11.659020291242372,4.363390258452998,ISO 14025,2023-01-01,2028-01-01,939725.611,kg CFC-11 eq,318220.977,kg SO2 eq,352328.87,kg PO4 eq,52344.546,kg C2H4 eq,396588.251,kg Sb eq,209799.465,m3,560236.866,MJ,BLD_00073,window_frames
concrete,1924.47,m3,EPD-2397-CON,Concrete Corp 55,Asia,806,582.82,174.85,58.28,349.69,96.22,38.49,1.924,19.24,57.73,38.49,96.22,-113.15,2400,31.9,62,2.1355673551978183,15.121872470618431,EN 15804,2023-01-01,2028-01-01,14041.914,kg CFC-11 eq,6518.411,kg SO2 eq,3854.874,kg PO4 eq,17717.544,kg C2H4 eq,18597.125,kg Sb eq,2135.759,m3,4292.275,MJ,BLD_00070,structure
concrete,1154.682,m3,EPD-5764-CON,Concrete Corp 50,Europe,932,338.54,101.56,33.85,203.12,57.73,23.09,1.155,11.55,34.64,23.09,57.73,-37.26,2400,36.5,70,5.454092508704598,11.32584007556558,ISO 21930,2023-01-01,2028-01-01,229.073,kg CFC-11 eq,8687.144,kg SO2 eq,9159.916,kg PO4 eq,9597.98,kg C2H4 eq,4417.274,kg Sb eq,903.281,m3,5752.115,MJ,BLD_00070,facade
insulation_mineral_wool,46187.28,kg,EPD-1066-INS,Insulation_mineral_wool Corp 54,North America,540,52183.81,15655.14,5218.38,31310.29,2309.36,923.75,46.187,461.87,1385.62,923.75,2309.36,-17244.6,100,53.5,44,15.788697828150982,40.76509243469364,ISO 21930,2023-01-01,2028-01-01,139752.122,kg CFC-11 eq,188.774,kg SO2 eq,317522.902,kg PO4 eq,287189.381,kg C2H4 eq,208328.322,kg Sb eq,455996.037,m3,196842.836,MJ,BLD_00070,insulation
glass,34640.46,kg,EPD-1862-GLA,Glass Corp 35,Europe,1185,41373.94,12412.18,4137.39,24824.37,1732.02,692.81,34.64,346.4,1039.21,692.81,1732.02,-19507.88,2500,96.1,32,12.31721725402954,48.88676855925989,ISO 21930,2023-01-01,2028-01-01,130599.447,kg CFC-11 eq,153730.849,kg SO2 eq,320635.837,kg PO4 eq,219207.363,kg C2H4 eq,108605.342,kg Sb eq,238852.988,m3,193362.954,MJ,BLD_00070,windows
aluminum,8660.115,kg,EPD-9051-ALU,Aluminum Corp 34,Europe,1869,93191.46,27957.44,9319.15,55914.88,433.01,173.2,8.66,86.6,259.8,173.2,433.01,-46081.16,2700,95.6,44,12.763743454757652,17.226008790270654,EN 15804,2023-01-01,2028-01-01,39234.746,kg CFC-11 eq,29000.517,kg SO2 eq,69216.539,kg PO4 eq,22559.317,kg C2H4 eq,72565.497,kg Sb eq,37624.42,m3,25543.885,MJ,BLD_00070,window_frames
concrete,5913.0,m3,EPD-9233-CON,Concrete Corp 100,Asia,1292,1910.3,573.09,191.03,1146.18,295.65,118.26,5.913,59.13,177.39,118.26,295.65,-241.4,2400,28.3,100,16.042353967001898,30.336997871747602,ISO 21930,2023-01-01,2028-01-01,27301.356,kg CFC-11 eq,8897.234,kg SO2 eq,19721.353,kg PO4 eq,41064.636,kg C2H4 eq,16362.129,kg Sb eq,26411.831,m3,12084.722,MJ,BLD_00045,structure
brick,1773900.0,kg,EPD-5902-BRI,Brick Corp 29,Europe,689,502508.09,150752.43,50250.81,301504.85,88695.0,35478.0,1773.9,17739.0,53217.0,35478.0,88695.0,-223543.12,1900,87.0,116,3.1777717039993725,3.561389951491006,ISO 14025,2023-01-01,2028-01-01,5499477.516,kg CFC-11 eq,15489544.248,kg SO2 eq,15507377.526,kg PO4 eq,10284964.446,kg C2H4 eq,8206269.941,kg Sb eq,6907142.594,m3,5521827.314,MJ,BLD_00045,facade
insulation_mineral_wool,141912.0,kg,EPD-6910-INS,Insulation_mineral_wool Corp 64,North America,117,152030.71,45609.21,15203.07,91218.42,7095.6,2838.24,141.912,1419.12,4257.36,2838.24,7095.6,-42709.04,100,69.0,41,3.177686742632948,33.486729000424795,ISO 14025,2023-01-01,2028-01-01,903438.553,kg CFC-11 eq,660234.447,kg SO2 eq,1317692.521,kg PO4 eq,28004.148,kg C2H4 eq,522492.227,kg Sb eq,1306872.67,m3,611648.984,MJ,BLD_00045,insulation
glass,106434.0,kg,EPD-4792-GLA,Glass Corp 7,Local,1666,124907.55,37472.26,12490.75,74944.53,5321.7,2128.68,106.434,1064.34,3193.02,2128.68,5321.7,-62232.6,2500,98.8,48,16.238580585667517,24.425088361081297,EN 15804,2023-01-01,2028-01-01,710022.85,kg CFC-11 eq,492.51,kg SO2 eq,29970.745,kg PO4 eq,749287.978,kg C2H4 eq,376388.871,kg Sb eq,869555.917,m3,968715.22,MJ,BLD_00045,windows
aluminum,26608.5,kg,EPD-5635-ALU,Aluminum Corp 3,Local,397,279012.36,83703.71,27901.24,167407.42,1330.43,532.17,26.608,266.08,798.26,532.17,1330.43,-138296.41,2700,99.8,48,19.012226135245854,20.406955146247537,ISO 14025,2023-01-01,2028-01-01,193281.472,kg CFC-11 eq,72360.773,kg SO2 eq,189490.424,kg PO4 eq,16642.113,kg C2H4 eq,13270.157,kg Sb eq,40695.058,m3,40323.918,MJ,BLD_00045,window_frames
concrete,6787.665,m3,EPD-1672-CON,Concrete Corp 26,North America,1358,2361.2,708.36,236.12,1416.72,339.38,135.75,6.788,67.88,203.63,135.75,339.38,-411.86,2400,24.9,68,18.54524462411632,5.9379443396593565,ISO 14025,2023-01-01,2028-01-01,46349.569,kg CFC-11 eq,50180.347,kg SO2 eq,42440.423,kg PO4 eq,13198.768,kg C2H4 eq,19324.849,kg Sb eq,46649.535,m3,15864.304,MJ,BLD_00062,structure
brick,2036299.5,kg,EPD-1695-BRI,Brick Corp 98,Local,277,560174.12,168052.24,56017.41,336104.47,101814.98,40725.99,2036.3,20363.0,61088.98,40725.99,101814.98,-239391.76,1900,88.2,106,12.511069454349235,26.56587703511213,EN 15804,2023-01-01,2028-01-01,16307511.55,kg CFC-11 eq,13654168.938,kg SO2 eq,18012480.04,kg PO4 eq,13544475.316,kg C2H4 eq,11586078.225,kg Sb eq,19580706.738,m3,1364903.066,MJ,BLD_00062,facade
insulation_mineral_wool,203629.94999999998,kg,EPD-8558-INS,Insulation_mineral_wool Corp 82,Europe,1432,298176.84,89453.05,29817.68,178906.1,10181.5,4072.6,203.63,2036.3,6108.9,4072.6,10181.5,-77077.4,100,66.1,30,10.880544305208675,47.40893651881736,EN 15804,2023-01-01,2028-01-01,314102.147,kg CFC-11 eq,1771805.118,kg SO2 eq,1870146.991,kg PO4 eq,1134440.702,kg C2H4 eq,1806855.538,kg Sb eq,2030649.19,m3,1384529.644,MJ,BLD_00062,insulation
glass,122177.96999999999,kg,EPD-3300-GLA,Glass Corp 86,North America,971,142207.06,42662.12,14220.71,85324.24,6108.9,2443.56,122.178,1221.78,3665.34,2443.56,6108.9,-68317.33,2500,93.2,41,8.461699531914139,13.521594054757063,EN 15804,2023-01-01,2028-01-01,1103899.55,kg CFC-11 eq,740061.383,kg SO2 eq,832766.944,kg PO4 eq,426009.671,kg C2H4 eq,1111707.827,kg Sb eq,551459.081,m3,225805.274,MJ,BLD_00062,windows
aluminum,30544.492499999997,kg,EPD-7424-ALU,Aluminum Corp 21,North America,1703,292089.91,87626.97,29208.99,175253.95,1527.22,610.89,30.544,305.44,916.33,610.89,1527.22,-138864.37,2700,95.8,56,14.04780198073798,48.392119490730245,EN 15804,2023-01-01,2028-01-01,17587.672,kg CFC-11 eq,21478.4,kg SO2 eq,193552.962,kg PO4 eq,190304.463,kg C2H4 eq,79827.041,kg Sb eq,3060.483,m3,13559.23,MJ,BLD_00062,window_frames
timber,11416.208999999999,m3,EPD-9903-TIM,Timber Corp 55,North America,1069,-3968.1,-1190.43,-396.81,-2380.86,570.81,228.32,11.416,114.16,342.49,228.32,570.81,1363.82,500,71.7,72,32.32582708968476,24.83309674490264,ISO 21930,2023-01-01,2028-01-01,510.942,kg CFC-11 eq,13426.775,kg SO2 eq,46444.968,kg PO4 eq,41709.846,kg C2H4 eq,94942.195,kg Sb eq,45243.783,m3,68391.836,MJ,BLD_00016,structure
brick,5708104.5,kg,EPD-7775-BRI,Brick Corp 36,North America,186,1583484.66,475045.4,158348.47,950090.8,285405.23,114162.09,5708.104,57081.04,171243.13,114162.09,285405.23,-641266.59,1900,85.9,100,6.2603061819441574,6.867420998776669,ISO 14025,2023-01-01,2028-01-01,23564777.952,kg CFC-11 eq,26049963.583,kg SO2 eq,17718334.491,kg PO4 eq,9457851.089,kg C2H4 eq,14974671.802,kg Sb eq,54650959.165,m3,28513076.445,MJ,BLD_00016,facade
insulation_mineral_wool,456648.36,kg,EPD-9936-INS,Insulation_mineral_wool Corp 7,North America,1460,538185.21,161455.56,53818.52,322911.12,22832.42,9132.97,456.648,4566.48,13699.45,9132.97,22832.42,-155935.32,100,66.8,50,7.794807884152539,25.360903778717862,EN 15804,2023-01-01,2028-01-01,2303931.409,kg CFC-11 eq,144586.998,kg SO2 eq,1350540.146,kg PO4 eq,1906642.542,kg C2H4 eq,3484343.583,kg Sb eq,1508034.541,m3,3922262.496,MJ,BLD_00016,insulation
glass,342486.27,kg,EPD-3666-GLA,Glass Corp 4,Asia,419,360246.73,108074.02,36024.67,216148.04,17124.31,6849.73,342.486,3424.86,10274.59,6849.73,17124.31,-168138.49,2500,91.1,37,11.221551598982007,8.727910586018378,ISO 21930,2023-01-01,2028-01-01,2470645.053,kg CFC-11 eq,909145.083,kg SO2 eq,2808760.512,kg PO4 eq,3353159.554,kg C2H4 eq,3009937.205,kg Sb eq,460352.894,m3,1687119.456,MJ,BLD_00016,windows
aluminum,85621.5675,kg,EPD-2571-ALU,Aluminum Corp 38,Local,589,768361.42,230508.42,76836.14,461016.85,4281.08,1712.43,85.622,856.22,2568.65,1712.43,4281.08,-376307.14,2700,97.4,42,6.302294533010024,4.8772555334693655,ISO 21930,2023-01-01,2028-01-01,511479.936,kg CFC-11 eq,281528.966,kg SO2 eq,316545.434,kg PO4 eq,689658.784,kg C2H4 eq,512268.471,kg Sb eq,625146.271,m3,467653.77,MJ,BLD_00016,window_frames
steel,402583.0,kg,EPD-5465-STE,Steel Corp 22,Europe,83,720968.53,216290.56,72096.85,432581.12,20129.15,8051.66,402.583,4025.83,12077.49,8051.66,20129.15,-337342.71,7850,90.8,93,10.178489074832457,14.72040519626589,EN 15804,2023-01-01,2028-01-01,3528298.862,kg CFC-11 eq,752697.765,kg SO2 eq,2524931.436,kg PO4 eq,3821434.905,kg C2H4 eq,1290430.722,kg Sb eq,2295825.8,m3,3354158.039,MJ,BLD_00052,structure
concrete,2415.498,m3,EPD-3851-CON,Concrete Corp 42,North America,121,747.45,224.23,74.74,448.47,120.77,48.31,2.415,24.15,72.46,48.31,120.77,-127.52,2400,26.2,71,19.85285727484223,6.039862188032613,EN 15804,2023-01-01,2028-01-01,13859.299,kg CFC-11 eq,11063.164,kg SO2 eq,20167.328,kg PO4 eq,18336.781,kg C2H4 eq,23705.28,kg Sb eq,23727.551,m3,20649.113,MJ,BLD_00052,facade
insulation_mineral_wool,120774.9,kg,EPD-7210-INS,Insulation_mineral_wool Corp 85,Europe,1806,170799.8,51239.94,17079.98,102479.88,6038.74,2415.5,120.775,1207.75,3623.25,2415.5,6038.74,-54344.45,100,51.9,43,11.739217083989782,5.637263957878369,ISO 14025,2023-01-01,2028-01-01,985854.147,kg CFC-11 eq,207534.184,kg SO2 eq,654569.963,kg PO4 eq,951922.95,kg C2H4 eq,672236.763,kg Sb eq,458796.454,m3,725792.835,MJ,BLD_00052,insulation
glass,72464.94,kg,EPD-6898-GLA,Glass Corp 76,North America,1152,86327.93,25898.38,8632.79,51796.76,3623.25,1449.3,72.465,724.65,2173.95,1449.3,3623.25,-43031.89,2500,94.8,31,13.863490880910714,29.151311002441364,EN 15804,2023-01-01,2028-01-01,642181.71,kg CFC-11 eq,301351.119,kg SO2 eq,607839.245,kg PO4 eq,80015.227,kg C2H4 eq,271445.283,kg Sb eq,408234.002,m3,486521.224,MJ,BLD_00052,windows
aluminum,18116.235,kg,EPD-1468-ALU,Aluminum Corp 56,Europe,1792,163178.54,48953.56,16317.85,97907.12,905.81,362.32,18.116,181.16,543.49,362.32,905.81,-79646.3,2700,95.9,53,2.4883647292013578,0.5384624636580793,ISO 21930,2023-01-01,2028-01-01,40818.766,kg CFC-11 eq,147512.496,kg SO2 eq,119208.735,kg PO4 eq,4914.086,kg C2H4 eq,113029.019,kg Sb eq,157247.595,m3,66203.908,MJ,BLD_00052,window_frames
concrete,14386.795,m3,EPD-4491-CON,Concrete Corp 50,Asia,1746,3849.48,1154.84,384.95,2309.69,719.34,287.74,14.387,143.87,431.6,287.74,719.34,-606.31,2400,22.3,94,4.904778285121266,36.18743692811405,EN 15804,2023-01-01,2028-01-01,91066.421,kg CFC-11 eq,14445.914,kg SO2 eq,34502.63,kg PO4 eq,36871.441,kg C2H4 eq,87146.821,kg Sb eq,77943.126,m3,99080.372,MJ,BLD_00074,structure
concrete,8632.077000000001,m3,EPD-6344-CON,Concrete Corp 4,Asia,1729,3425.17,1027.55,342.52,2055.1,431.6,172.64,8.632,86.32,258.96,172.64,431.6,-535.5,2400,36.8,83,5.706033484449136,47.02492005581239,ISO 21930,2023-01-01,2028-01-01,22147.908,kg CFC-11 eq,23442.634,kg SO2 eq,78676.84,kg PO4 eq,50406.986,kg C2H4 eq,63470.491,kg Sb eq,37910.173,m3,30367.715,MJ,BLD_00074,facade
insulation_mineral_wool,345283.08,kg,EPD-3403-INS,Insulation_mineral_wool Corp 85,Europe,641,425767.66,127730.3,42576.77,255460.59,17264.15,6905.66,345.283,3452.83,10358.49,6905.66,17264.15,-127283.06,100,65.7,39,19.83260395013534,33.9443907543125,ISO 14025,2023-01-01,2028-01-01,2888753.604,kg CFC-11 eq,1422310.199,kg SO2 eq,1964686.297,kg PO4 eq,2026122.662,kg C2H4 eq,3250218.265,kg Sb eq,2808218.011,m3,1124112.125,MJ,BLD_00074,insulation
glass,258962.31,kg,EPD-5932-GLA,Glass Corp 34,North America,911,297599.0,89279.7,29759.9,178559.4,12948.12,5179.25,258.962,2589.62,7768.87,5179.25,12948.12,-144242.74,2500,93.6,39,10.336229215297212,39.91064514682004,ISO 21930,2023-01-01,2028-01-01,824021.526,kg CFC-11 eq,821101.754,kg SO2 eq,1821311.732,kg PO4 eq,1324898.47,kg C2H4 eq,1322798.351,kg Sb eq,1725573.121,m3,1020062.133,MJ,BLD_00074,windows
aluminum,64740.5775,kg,EPD-1281-ALU,Aluminum Corp 72,Asia,1883,616047.16,184814.15,61604.72,369628.3,3237.03,1294.81,64.741,647.41,1942.22,1294.81,3237.03,-293005.7,2700,96.2,42,9.513186056678602,27.905261625999945,EN 15804,2023-01-01,2028-01-01,49488.209,kg CFC-11 eq,608000.147,kg SO2 eq,63392.494,kg PO4 eq,502943.98,kg C2H4 eq,455064.754,kg Sb eq,399743.372,m3,323217.264,MJ,BLD_00074,window_frames
steel,1168099.5,kg,EPD-6057-STE,Steel Corp 26,Asia,631,1971838.63,591551.59,197183.86,1183103.18,58404.98,23361.99,1168.1,11681.0,35042.98,23361.99,58404.98,-915122.33,7850,92.3,56,15.373067050544883,22.240580665922995,ISO 21930,2023-01-01,2028-01-01,146962.43,kg CFC-11 eq,589727.115,kg SO2 eq,10811848.542,kg PO4 eq,6601007.347,kg C2H4 eq,11020340.717,kg Sb eq,2163833.236,m3,1732487.395,MJ,BLD_00048,structure
concrete,7008.597000000001,m3,EPD-1523-CON,Concrete Corp 4,Europe,1444,2488.3,746.49,248.83,1492.98,350.43,140.17,7.009,70.09,210.26,140.17,350.43,-433.08,2400,35.3,64,2.231834139850737,9.635768540781037,EN 15804,2023-01-01,2028-01-01,20562.535,kg CFC-11 eq,15938.566,kg SO2 eq,46092.7,kg PO4 eq,45929.696,kg C2H4 eq,46603.139,kg Sb eq,53608.867,m3,11964.167,MJ,BLD_00048,facade
insulation_mineral_wool,280343.88,kg,EPD-9236-INS,Insulation_mineral_wool Corp 31,Europe,1939,316016.55,94804.96,31601.65,189609.93,14017.19,5606.88,280.344,2803.44,8410.32,5606.88,14017.19,-94360.64,100,67.9,32,18.214279846088726,8.350814270155249,ISO 14025,2023-01-01,2028-01-01,1736515.079,kg CFC-11 eq,1512989.752,kg SO2 eq,1648566.186,kg PO4 eq,2619926.679,kg C2H4 eq,2760459.344,kg Sb eq,139751.746,m3,850249.651,MJ,BLD_00048,insulation
glass,210257.91,kg,EPD-9243-GLA,Glass Corp 85,Asia,1014,177582.71,53274.81,17758.27,106549.62,10512.9,4205.16,210.258,2102.58,6307.74,4205.16,10512.9,-86706.85,2500,100.0,39,13.029023799819717,17.99762888866737,EN 15804,2023-01-01,2028-01-01,926508.225,kg CFC-11 eq,1199605.512,kg SO2 eq,1321490.276,kg PO4 eq,162093.834,kg C2H4 eq,301395.166,kg Sb eq,1904963.797,m3,442600.692,MJ,BLD_00048,windows
aluminum,52564.4775,kg,EPD-8594-ALU,Aluminum Corp 64,North America,268,439444.11,131833.23,43944.41,263666.46,2628.22,1051.29,52.564,525.64,1576.93,1051.29,2628.22,-213418.54,2700,96.8,41,18.624455050614994,43.961385464244906,EN 15804,2023-01-01,2028-01-01,27670.439,kg CFC-11 eq,145101.681,kg SO2 eq,511705.683,kg PO4 eq,394984.191,kg C2H4 eq,245355.48,kg Sb eq,204923.88,m3,61571.037,MJ,BLD_00048,window_frames
concrete,359.48,m3,EPD-4641-CON,Concrete Corp 13,Local,331,134.11,40.23,13.41,80.46,17.97,7.19,0.359,3.59,10.78,7.19,17.97,-17.96,2400,29.4,55,0.4900714729600253,1.6815062684371829,EN 15804,2023-01-01,2028-01-01,1387.361,kg CFC-11 eq,1477.47,kg SO2 eq,1932.002,kg PO4 eq,1694.864,kg C2H4 eq,1122.495,kg Sb eq,2105.066,m3,3347.748,MJ,BLD_00036,structure
concrete,215.68800000000002,m3,EPD-4879-CON,Concrete Corp 71,North America,1806,63.62,19.09,6.36,38.17,10.78,4.31,0.216,2.16,6.47,4.31,10.78,-11.44,2400,39.4,100,1.8215611197183534,34.65840650602603,ISO 14025,2023-01-01,2028-01-01,1729.665,kg CFC-11 eq,789.639,kg SO2 eq,160.756,kg PO4 eq,837.746,kg C2H4 eq,1857.049,kg Sb eq,1997.019,m3,231.121,MJ,BLD_00036,facade
insulation_mineral_wool,8627.52,kg,EPD-2274-INS,Insulation_mineral_wool Corp 69,Asia,443,11182.31,3354.69,1118.23,6709.39,431.38,172.55,8.628,86.28,258.83,172.55,431.38,-3250.75,100,69.6,45,19.44254772873201,16.510162437475532,EN 15804,2023-01-01,2028-01-01,8055.615,kg CFC-11 eq,51398.767,kg SO2 eq,44974.809,kg PO4 eq,2699.18,kg C2H4 eq,75101.855,kg Sb eq,82395.433,m3,62125.519,MJ,BLD_00036,insulation
glass,6470.639999999999,kg,EPD-7236-GLA,Glass Corp 20,Asia,952,5312.96,1593.89,531.3,3187.78,323.53,129.41,6.471,64.71,194.12,129.41,323.53,-2397.37,2500,90.4,44,13.467938347879223,27.849689395241946,EN 15804,2023-01-01,2028-01-01,43773.164,kg CFC-11 eq,10357.494,kg SO2 eq,64440.139,kg PO4 eq,37255.27,kg C2H4 eq,21094.827,kg Sb eq,54926.655,m3,51863.374,MJ,BLD_00036,windows
aluminum,1617.6599999999999,kg,EPD-5564-ALU,Aluminum Corp 64,Local,505,15119.73,4535.92,1511.97,9071.84,80.88,32.35,1.618,16.18,48.53,32.35,80.88,-7488.7,2700,97.2,42,5.937894786981213,17.695026062197112,ISO 21930,2023-01-01,2028-01-01,15402.842,kg CFC-11 eq,866.381,kg SO2 eq,6226.007,kg PO4 eq,3644.695,kg C2H4 eq,16161.049,kg Sb eq,14970.161,m3,14387.031,MJ,BLD_00036,window_frames
steel,316853.5,kg,EPD-4342-STE,Steel Corp 57,Asia,573,525519.34,157655.8,52551.93,315311.6,15842.68,6337.07,316.854,3168.54,9505.6,6337.07,15842.68,-242224.85,7850,92.3,74,14.907120443137487,6.2841393677009805,ISO 14025,2023-01-01,2028-01-01,2888156.306,kg CFC-11 eq,1526715.604,kg SO2 eq,234077.148,kg PO4 eq,963652.995,kg C2H4 eq,1394837.637,kg Sb eq,37603.023,m3,2549867.888,MJ,BLD_00072,structure
concrete,1901.121,m3,EPD-6494-CON,Concrete Corp 22,Asia,652,758.56,227.57,75.86,455.14,95.06,38.02,1.901,19.01,57.03,38.02,95.06,-130.78,2400,23.4,52,7.200433700885139,39.086535731991134,ISO 14025,2023-01-01,2028-01-01,18442.577,kg CFC-11 eq,2800.733,kg SO2 eq,5493.756,kg PO4 eq,8553.047,kg C2H4 eq,999.966,kg Sb eq,5167.511,m3,9168.851,MJ,BLD_00072,facade
insulation_mineral_wool,76044.84,kg,EPD-7523-INS,Insulation_mineral_wool Corp 6,Asia,644,99519.32,29855.8,9951.93,59711.59,3802.24,1520.9,76.045,760.45,2281.35,1520.9,3802.24,-33343.68,100,66.1,49,9.716372774918632,47.27482245196203,EN 15804,2023-01-01,2028-01-01,82529.286,kg CFC-11 eq,35275.211,kg SO2 eq,264618.763,kg PO4 eq,643241.229,kg C2H4 eq,178364.491,kg Sb eq,672335.605,m3,458536.784,MJ,BLD_00072,insulation
glass,57033.62999999999,kg,EPD-2506-GLA,Glass Corp 13,North America,623,49850.34,14955.1,4985.03,29910.2,2851.68,1140.67,57.034,570.34,1711.01,1140.67,2851.68,-24456.01,2500,92.6,32,6.945829245882365,33.82959318955592,ISO 14025,2023-01-01,2028-01-01,121867.381,kg CFC-11 eq,364630.023,kg SO2 eq,348512.904,kg PO4 eq,449966.027,kg C2H4 eq,401372.856,kg Sb eq,237198.634,m3,312578.079,MJ,BLD_00072,windows
aluminum,14258.407499999998,kg,EPD-9384-ALU,Aluminum Corp 31,North America,1129,144364.88,43309.46,14436.49,86618.93,712.92,285.17,14.258,142.58,427.75,285.17,712.92,-71165.65,2700,96.8,51,19.72072996238698,32.24462790317026,EN 15804,2023-01-01,2028-01-01,60906.023,kg CFC-11 eq,45724.796,kg SO2 eq,90348.082,kg PO4 eq,63925.161,kg C2H4 eq,109152.108,kg Sb eq,64013.268,m3,80582.028,MJ,BLD_00072,window_frames
concrete,2759.1000000000004,m3,EPD-8915-CON,Concrete Corp 34,Asia,765,971.88,291.56,97.19,583.13,137.96,55.18,2.759,27.59,82.77,55.18,137.96,-168.49,2400,38.4,90,11.618145949837073,49.1755165375122,ISO 21930,2023-01-01,2028-01-01,21207.987,kg CFC-11 eq,8366.678,kg SO2 eq,10611.284,kg PO4 eq,4623.598,kg C2H4 eq,13172.88,kg Sb eq,11135.35,m3,7058.25,MJ,BLD_00027,structure
concrete,2069.3250000000003,m3,EPD-9650-CON,Concrete Corp 42,Europe,1702,819.27,245.78,81.93,491.56,103.47,41.39,2.069,20.69,62.08,41.39,103.47,-138.68,2400,38.4,83,17.236995345484456,43.70013267960722,ISO 14025,2023-01-01,2028-01-01,19170.385,kg CFC-11 eq,15788.16,kg SO2 eq,4812.609,kg PO4 eq,15713.87,kg C2H4 eq,2214.02,kg Sb eq,10966.175,m3,11243.339,MJ,BLD_00027,facade
insulation_mineral_wool,82773.0,kg,EPD-8193-INS,Insulation_mineral_wool Corp 67,North America,814,99495.37,29848.61,9949.54,59697.22,4138.65,1655.46,82.773,827.73,2483.19,1655.46,4138.65,-25951.45,100,66.9,49,18.05985498762835,33.966306934357895,EN 15804,2023-01-01,2028-01-01,665048.177,kg CFC-11 eq,341627.49,kg SO2 eq,58791.802,kg PO4 eq,590908.261,kg C2H4 eq,465750.943,kg Sb eq,491185.302,m3,384199.704,MJ,BLD_00027,insulation
glass,62079.74999999999,kg,EPD-8194-GLA,Glass Corp 14,Europe,1846,53912.0,16173.6,5391.2,32347.2,3103.99,1241.59,62.08,620.8,1862.39,1241.59,3103.99,-24283.16,2500,91.5,49,19.226851879356403,18.4076275186468,ISO 21930,2023-01-01,2028-01-01,397701.342,kg CFC-11 eq,118282.586,kg SO2 eq,45776.976,kg PO4 eq,475762.756,kg C2H4 eq,525975.966,kg Sb eq,217815.719,m3,34508.907,MJ,BLD_00027,windows
aluminum,15519.937499999998,kg,EPD-3967-ALU,Aluminum Corp 6,Asia,820,136818.17,41045.45,13681.82,82090.9,776.0,310.4,15.52,155.2,465.6,310.4,776.0,-65249.64,2700,98.4,40,1.3020284903810575,15.588191452249212,ISO 14025,2023-01-01,2028-01-01,42461.526,kg CFC-11 eq,149788.658,kg SO2 eq,96499.583,kg PO4 eq,74865.817,kg C2H4 eq,110198.386,kg Sb eq,129012.259,m3,101889.143,MJ,BLD_00027,window_frames
concrete,4572.144,m3,EPD-1939-CON,Concrete Corp 28,Local,1059,979.34,293.8,97.93,587.6,228.61,91.44,4.572,45.72,137.16,91.44,228.61,-130.07,2400,39.1,74,11.365808215834456,36.000884407063744,EN 15804,2023-01-01,2028-01-01,32423.818,kg CFC-11 eq,35297.873,kg SO2 eq,33060.911,kg PO4 eq,40804.514,kg C2H4 eq,12169.603,kg Sb eq,3239.168,m3,4178.639,MJ,BLD_00008,structure
concrete,3429.108,m3,EPD-4106-CON,Concrete Corp 5,Asia,1994,739.05,221.72,73.91,443.43,171.46,68.58,3.429,34.29,102.87,68.58,171.46,-126.15,2400,20.6,79,2.0268287552933284,13.223936189751395,ISO 14025,2023-01-01,2028-01-01,20268.072,kg CFC-11 eq,18924.872,kg SO2 eq,16325.695,kg PO4 eq,23936.444,kg C2H4 eq,16315.666,kg Sb eq,33300.034,m3,3620.388,MJ,BLD_00008,facade
